objective_run_id,formulation_id,model,training_category,feature_source,modality,task,fold,loso_fold_count,pair_scope,target_type,authorized,notes
23,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
24,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
25,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
26,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
27,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
28,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
29,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
30,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
31,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
32,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
33,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
34,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
35,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
36,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EEG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
37,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
38,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
39,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
40,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
41,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
42,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
43,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
44,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
45,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
46,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
47,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
48,within_subject_pairwise_affect_preference_ranking_v1,majority_train_label_no_training,no_training_control,none,EMG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Predict train-fold majority preference direction; should be near chance after counterbalancing.
49,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
50,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
51,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
52,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
53,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
54,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
55,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
56,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
57,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
58,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
59,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
60,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
61,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
62,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
63,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
64,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
65,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
66,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
67,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
68,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
69,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
70,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
71,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
72,within_subject_pairwise_affect_preference_ranking_v1,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Simple logistic regression on signed/absolute summary feature differences.
73,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
74,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
75,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
76,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
77,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
78,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
79,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
80,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
81,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
82,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
83,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
84,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EEG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
85,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
86,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
87,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
88,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
89,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
90,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
91,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
92,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
93,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
94,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
95,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
96,within_subject_pairwise_affect_preference_ranking_v1,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,pairwise_feature_difference,EMG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Linear ridge classifier on pairwise summary feature differences.
