smoke_id,candidate_id,modality,task,fold,metric,value,passed
leakage_guard,A0_CE_control,EMG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,6,anchor_positive_coverage,0.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EEG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EEG,arousal,6,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A2_cross_subject_positive_only,EMG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A2_cross_subject_positive_only,EMG,arousal,6,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EEG,arousal,6,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A4_rating_distance_guarded_supcon,EMG,arousal,6,anchor_positive_coverage,1.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,1,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,2,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,3,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,4,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,5,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,valence,6,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,1,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,2,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,3,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,4,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,5,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EEG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EEG,arousal,6,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,1,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,2,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,3,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,4,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,5,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,valence,6,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,1,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,2,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,3,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,4,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,5,anchor_positive_coverage,0.0,True
leakage_guard,A6_vrex_only_recheck,EMG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A6_vrex_only_recheck,EMG,arousal,6,anchor_positive_coverage,0.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EEG,arousal,6,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,1,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,2,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,3,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,4,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,5,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,valence,6,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,1,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,2,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,3,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,4,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,5,anchor_positive_coverage,1.0,True
leakage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A5_cross_subject_supcon_vrex,EMG,arousal,6,anchor_positive_coverage,1.0,True
