eeg_file,exists,subject_col,trial_rows,status,error
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_13.mat',)",False,sbj_P_13,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_13.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_14.mat',)",False,sbj_P_14,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_14.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_15.mat',)",False,sbj_P_15,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_15.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_16.mat',)",False,sbj_P_16,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_16.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_17.mat',)",False,sbj_P_17,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_17.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_18.mat',)",False,sbj_P_18,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_18.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_19.mat',)",False,sbj_P_19,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_19.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_20.mat',)",False,sbj_P_20,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_20.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_21.mat',)",False,sbj_P_21,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_21.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_22.mat',)",False,sbj_P_22,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_22.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_23.mat',)",False,sbj_P_23,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_23.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_24.mat',)",False,sbj_P_24,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_24.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_25.mat',)",False,sbj_P_25,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_25.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_26.mat',)",False,sbj_P_26,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_26.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_27.mat',)",False,sbj_P_27,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_27.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_28.mat',)",False,sbj_P_28,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_28.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_29.mat',)",False,sbj_P_29,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_29.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_30.mat',)",False,sbj_P_30,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_30.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_31.mat',)",False,sbj_P_31,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_31.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_32.mat',)",False,sbj_P_32,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_32.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_33.mat',)",False,sbj_P_33,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_33.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_34.mat',)",False,sbj_P_34,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_34.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_35.mat',)",False,sbj_P_35,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_35.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat',)",False,sbj_P_36,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_37.mat',)",False,sbj_P_37,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_37.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_38.mat',)",False,sbj_P_38,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_38.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_39.mat',)",False,sbj_P_39,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_39.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_40.mat',)",False,sbj_P_40,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_40.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_41.mat',)",False,sbj_P_41,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_41.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_42.mat',)",False,sbj_P_42,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_42.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_43.mat',)",False,sbj_P_43,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_43.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_44.mat',)",False,sbj_P_44,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_44.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_45.mat',)",False,sbj_P_45,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_45.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_46.mat',)",False,sbj_P_46,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_46.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_47.mat',)",False,sbj_P_47,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_47.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_48.mat',)",False,sbj_P_48,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_48.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_49.mat',)",False,sbj_P_49,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_49.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_50.mat',)",False,sbj_P_50,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_50.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_52.mat',)",False,sbj_P_52,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_52.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_53.mat',)",False,sbj_P_53,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_53.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_54.mat',)",False,sbj_P_54,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_54.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_55.mat',)",False,sbj_P_55,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_55.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_56.mat',)",False,sbj_P_56,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_56.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_57.mat',)",False,sbj_P_57,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_57.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_58.mat',)",False,sbj_P_58,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_58.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_59.mat',)",False,sbj_P_59,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_59.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_60.mat',)",False,sbj_P_60,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_60.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_61.mat',)",False,sbj_P_61,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_61.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_62.mat',)",False,sbj_P_62,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_62.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_63.mat',)",False,sbj_P_63,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_63.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_64.mat',)",False,sbj_P_64,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_64.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_65.mat',)",False,sbj_P_65,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_65.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
