path,size_bytes,size_mb,deep_terms,result_terms,snippets,priority_score
scripts/idare/archive_or_reconstructed/from_downloads_bundle/analysis/run_idare_label_semantics_task_redesign_spec.sh,29288,0.0279,"conv,representation,embedding,loso","accuracy,acc,rmse,mae,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L48: docs/idare_label_semantics_cross_subject_audit.csv || L49: docs/idare_representation_transfer_failure_summary.csv || L51: docs/idare_subject_relative_candidate_matrix.csv || L52: docs/idare_subject_relative_label_balance_summary.csv || L145: failure_report = load_json(DOCS / ""idare_representation_or_label_semantics_failure_analysis_report.json"") || L148: label_audit = read_csv(DOCS / ""idare_label_semantics_cross_subject_audit.csv"") || L149: repr_summary = read_csv(DOCS / ""idare_representation_transfer_failure_summary.csv"") || L151: subject_rel_candidates = read_csv(DOCS / ""idare_subject_relative_candidate_matrix.csv"")",21
scripts/roca/05g_eeg_residual_sign_aux_smoke.py,24979,0.0238,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,auc,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L15: import torch || L27: OUT_FOLD_CSV = ROCA_DIR / ""eeg_residual_sign_aux_smoke_fold_summary_current.csv"" || L51: p.add_argument(""--target"", choices=[""valence"", ""arousal""], default=""arousal"") || L52: p.add_argument(""--cache"", choices=[""baseline_corrected"", ""raw""], default=""baseline_corrected"") || L53: p.add_argument(""--max-folds"", type=int, default=6) || L64: p.add_argument(""--val-subject-count"", type=int, default=8) || L101: def residual_sign_accuracy(true_dev: np.ndarray, sign_prob: np.ndarray) -> float | None: || L130: [""target"", ""test_subject"", ""stimulus_id""]",21
scripts/roca/05an_idare_representation_learning_feasibility_gate.py,20108,0.0192,"cnn,transformer,tcn,raw eeg,time-frequency,representation,embedding","rmse,pearson,valence,arousal,subject,test,baseline","L15: OUT_PREFIX = ""idare_representation_learning_feasibility_gate_current"" || L108: baselines = read_csv_optional(ROCA / ""idare_scientific_direction_lock_current_locked_baselines.csv"") || L114: rescue = read_csv_optional(ROCA / ""idare_failure_subject_physiology_rescue_audit_current_decision_table.csv"") || L116: model_family = read_csv_optional(ROCA / ""idare_subject_calibration_model_family_confirmatory_stats_current_verdict.csv"") || L122: ) | {""arousal"", ""valence""}) || L138: # Locked baseline. || L139: b2_rmse = None || L140: if not baselines.empty:",21
docs/idare_label_semantics_task_redesign_spec.md,9043,0.0086,"conv,representation,embedding,loso","accuracy,acc,rmse,mae,f1,loss,valence,arousal,subject,fold,test,validation,baseline","L11: Selected formulation: `subject_relative_ordinal_affect_regression_v1` || L13: Scientific claim: Predict within-subject affect-rating order/percentile for held-out subjects, not global high/low affect by an absolute threshold. || L15: This replaces the current global binary LOSO target as the next candidate task. It does not validate a final claim yet. || L19: The accepted diagnosis says the current global binary LOSO task is not defensible for more model search. The previous interventions did not fail because pair sampling was invalid; they failed because the target semant... || L23: - `decision_report_diagnosis`: `current_global_binary_loso_task_not_defensible_for_more_model_search` || L25: - `decision_report_decision`: `pause_current_global_binary_loso_training_and_prepare_task_redesign_spec` || L27: - `failure_report_diagnosis`: `label_semantics_and_representation_transfer_joint_bottleneck` || L29: - `best_pair_sampler_candidate_mean_macro_f1`: `0.5118600603082725`",21
docs/roca/idare_representation_learning_feasibility_gate_current.json,8978,0.0086,"cnn,transformer,tcn,raw eeg,time-frequency,representation,embedding","rmse,pearson,valence,arousal,subject,test,baseline","L3: ""title"": ""I-DARE representation-learning feasibility gate"", || L6: ""target"": ""arousal"", || L7: ""representation_gate_decision"": ""GO_REPRESENTATION_LEARNING_REQUIRED"", || L10: ""locked_challenge_baseline"": ""B2_LOCKED_kernel_residual_shrink4_k16"", || L11: ""locked_B2_rmse"": 1.6576672767528169, || L13: ""recommended_first_experiment"": ""raw_or_time_frequency_EEG_arousal_high_disagreement_representation"", || L14: ""interpretation"": ""Arousal has a confirmed high-disagreement EEG-bandpower residual signal, but direct correction/bridge/rescue/sample-reduction failed. The next route should learn a representation that can preserve t... || L17: ""target"": ""valence"",",21
docs/roca/idare_representation_learning_feasibility_gate_current.md,7178,0.0068,"cnn,transformer,tcn,raw eeg,time-frequency,representation,embedding","rmse,pearson,valence,arousal,subject,test,baseline","L1: # I-DARE Representation-Learning Feasibility Gate || L3: This document closes the current fixed engineered EEG/EMG feature route for actionable personalization, while preserving the confirmed arousal high-disagreement EEG signal as a useful starting point for learned repres... || L7: | target | representation_gate_decision | fixed_feature_actionability_status | physiology_signal_status | locked_challenge_baseline | locked_B2_rmse | positive_signal_to_preserve | recommended_first_experiment | inter... || L9: | arousal | GO_REPRESENTATION_LEARNING_REQUIRED | FIXED_FEATURE_ROUTE_EXHAUSTED_FOR_ACTIONABLE_PERSONALIZATION | DETECTION_SIGNAL_PRESENT_BUT_NOT_ACTIONABLE | B2_LOCKED_kernel_residual_shrink4_k16 | 1.657667 | eeg_ban... || L10: | valence | GO_REPRESENTATION_LEARNING_REQUIRED | FIXED_FEATURE_ROUTE_EXHAUSTED_FOR_ACTIONABLE_PERSONALIZATION | NO_ACTIONABLE_FIXED_FEATURE_SIGNAL | B2_LOCKED_kernel_residual_shrink4_k16 | 1.159189 | none_confirmed_w... || L14: | target | locked_B2_kernel_residual_rmse | model_family_confirmatory_decision | physiology_vs_locked_status | direct_deviation_status | high_disagreement_confirmatory_status | high_disagreement_confirmed | high_disag... || L16: | arousal | 1.657667 | GO_CONFIRMED_MODEL_FAMILY_CALIBRATION | CURRENT_PHYSIOLOGY_NO_GO_AGAINST_LOCKED_PERSONALIZATION | WEAK_SIGNAL_BUT_NOT_ACTIONABLE_WITH_CURRENT_FEATURES | GO_CONFIRMED_HIGH_DISAGREEMENT_PHYSIOLOGY... || L17: | valence | 1.159189 | GO_CONFIRMED_MODEL_FAMILY_CALIBRATION | CURRENT_PHYSIOLOGY_NO_GO_AGAINST_LOCKED_PERSONALIZATION | NO_GO_CURRENT_FIXED_FEATURES_FOR_DIRECT_DEVIATION | WEAK_OR_NO_GO_HIGH_DISAGREEMENT_PHYSIOLOGY |...",21
scripts/roca/05o_eeg_oracle_checkpoint_base.py,33982,0.0324,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L15: import torch || L16: import torch.nn as nn || L17: from torch.utils.data import DataLoader, Dataset || L30: OUT_FOLD_CSV = ROCA_DIR / ""eeg_augmentation_matrix_smoke_fold_summary_current.csv"" || L105: p.add_argument(""--target"", choices=[""valence"", ""arousal""], default=""arousal"") || L106: p.add_argument(""--cache"", choices=[""baseline_corrected"", ""raw""], default=""baseline_corrected"") || L107: p.add_argument(""--max-folds"", type=int, default=6) || L114: p.add_argument(""--val-subject-count"", type=int, default=8)",20
scripts/idare/archive_or_reconstructed/from_downloads_bundle/analysis/run_idare_representation_or_label_semantics_failure_analysis_report.sh,32709,0.0312,"deep,representation,embedding,loso,cross-subject","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,baseline","L4: LOG_PATH=""${LOG_PATH:-/tmp/idare_representation_label_semantics_failure_analysis_report.log}"" || L7: echo ""===== 0) start representation/label-semantics failure-analysis report ====="" || L39: docs/idare_representation_or_label_semantics_failure_analysis_objective.md || L40: docs/idare_representation_or_label_semantics_failure_analysis_objective.json || L45: docs/idare_supcon_dg_pair_sampler_failure_fold_subject_summary.csv || L46: docs/idare_supcon_dg_pair_sampler_failure_loss_alignment.csv || L50: docs/idare_label_noise_subject_balance_summary.csv || L51: docs/idare_representation_signal_diagnostic_summary.csv",20
scripts/roca/05h_eeg_augmentation_matrix_smoke.py,31396,0.0299,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L15: import torch || L16: import torch.nn as nn || L17: from torch.utils.data import DataLoader, Dataset || L30: OUT_FOLD_CSV = ROCA_DIR / ""eeg_augmentation_matrix_smoke_fold_summary_current.csv"" || L105: p.add_argument(""--target"", choices=[""valence"", ""arousal""], default=""arousal"") || L106: p.add_argument(""--cache"", choices=[""baseline_corrected"", ""raw""], default=""baseline_corrected"") || L107: p.add_argument(""--max-folds"", type=int, default=6) || L114: p.add_argument(""--val-subject-count"", type=int, default=8)",20
scripts/roca/05b_eeg_residual_training_smoke.py,27655,0.0264,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L15: import torch || L16: import torch.nn as nn || L17: from torch.utils.data import DataLoader, Dataset || L31: BC_EEG_NPY = CACHE_DIR / ""idare_eeg_windows_32x640_float32_baseline_corrected.npy"" || L32: BC_EEG_INDEX = CACHE_DIR / ""idare_eeg_cache_index_baseline_corrected.csv"" || L38: FOLD_SAFE_SELECTED = ROCA_DIR / ""fold_safe_selected_stimuli_current.csv"" || L45: OUT_FOLD_CSV = ROCA_DIR / ""eeg_residual_training_smoke_fold_summary_current.csv"" || L48: ""valence"": ""valence_score"",",20
scripts/roca/05f_eeg_validation_calibrated_smoke.py,21774,0.0208,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,arousal,subject,fold,test,validation,baseline","L15: import torch || L22: OUT_MD = ROCA_DIR / ""eeg_validation_calibrated_smoke_current.md"" || L23: OUT_JSON = ROCA_DIR / ""eeg_validation_calibrated_smoke_current.json"" || L24: OUT_PRED_CSV = ROCA_DIR / ""eeg_validation_calibrated_smoke_predictions_current.csv"" || L25: OUT_MAIN_CSV = ROCA_DIR / ""eeg_validation_calibrated_smoke_main_metrics_current.csv"" || L26: OUT_SUBSET_CSV = ROCA_DIR / ""eeg_validation_calibrated_smoke_subset_metrics_current.csv"" || L27: OUT_FOLD_CSV = ROCA_DIR / ""eeg_validation_calibrated_smoke_fold_summary_current.csv"" || L28: OUT_HISTORY_CSV = ROCA_DIR / ""eeg_validation_calibrated_smoke_history_current.csv""",20
scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_representation_or_label_semantics_failure_analysis_objective.sh,21053,0.0201,"deep,representation,embedding,loso,cross-subject","accuracy,acc,f1,loss,valence,arousal,subject,fold,test,baseline","L4: LOG_PATH=""${LOG_PATH:-/tmp/idare_representation_label_semantics_failure_objective.log}"" || L7: echo ""===== 0) start pair-sampler failure review + representation/label-semantics objective ====="" || L46: docs/idare_supcon_dg_pair_sampler_failure_fold_subject_summary.csv || L47: docs/idare_supcon_dg_pair_sampler_failure_loss_alignment.csv || L62: echo ""===== 3) create review closeout + representation/label-semantics failure-analysis objective ====="" || L75: objective_md = DOCS / ""idare_representation_or_label_semantics_failure_analysis_objective.md"" || L76: objective_json = DOCS / ""idare_representation_or_label_semantics_failure_analysis_objective.json"" || L82: recommended = pair_report.get(""recommended_next_objective"", ""representation_or_label_semantics_failure_analysis_objective"")",20
docs/roca/eeg_gaussian_broader_smoke_current.json,133470,0.1273,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,arousal,subject,fold,test,validation,baseline","L3: ""target"": ""arousal"", || L4: ""cache"": ""baseline_corrected"", || L42: ""max_folds"": 20, || L43: ""validation_subject_count"": 8, || L44: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L45: ""augmentation_scope"": ""train batches only; validation and test are never augmented"", || L46: ""loss"": ""HuberLoss(delta=1.0) on scaled residual"", || L53: ""torch"": ""2.11.0+cu128"",",19
docs/roca/eeg_augmentation_matrix_smoke_current.json,102514,0.0978,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,arousal,subject,fold,test,validation,baseline","L3: ""target"": ""arousal"", || L4: ""cache"": ""baseline_corrected"", || L58: ""max_folds"": 6, || L59: ""validation_subject_count"": 8, || L60: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L61: ""augmentation_scope"": ""train batches only; validation and test are never augmented"", || L62: ""loss"": ""HuberLoss(delta=1.0) on scaled residual"", || L69: ""torch"": ""2.11.0+cu128"",",19
docs/roca/eeg_gaussian10_valence_test_oracle_current.json,92496,0.0882,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,subject,fold,test,validation,baseline","L3: ""target"": ""valence"", || L4: ""cache"": ""baseline_corrected"", || L5: ""model"": ""eeg_bc_residual_huber_norm_gaussian10_valence_test_oracle"", || L18: ""oracle_test_checkpoint_selection"": true, || L19: ""max_folds"": 63, || L20: ""validation_subject_count"": 8, || L21: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L22: ""augmentation_scope"": ""train batches only; validation and test are never augmented"",",19
docs/roca/eeg_gaussian10_arousal_test_oracle_current.json,92334,0.0881,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,arousal,subject,fold,test,validation,baseline","L3: ""target"": ""arousal"", || L4: ""cache"": ""baseline_corrected"", || L5: ""model"": ""eeg_bc_residual_huber_norm_gaussian10_arousal_test_oracle"", || L18: ""oracle_test_checkpoint_selection"": true, || L19: ""max_folds"": 63, || L20: ""validation_subject_count"": 8, || L21: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L22: ""augmentation_scope"": ""train batches only; validation and test are never augmented"",",19
docs/roca/eeg_gaussian10_valence_full_loso_current.json,89503,0.0854,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,valence,subject,fold,test,validation,baseline","L3: ""target"": ""valence"", || L4: ""cache"": ""baseline_corrected"", || L5: ""model"": ""eeg_bc_residual_huber_norm_gaussian10_valence_full_loso"", || L18: ""max_folds"": 63, || L19: ""validation_subject_count"": 8, || L20: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L21: ""augmentation_scope"": ""train batches only; validation and test are never augmented"", || L22: ""loss"": ""HuberLoss(delta=1.0) on scaled residual"",",19
docs/roca/eeg_gaussian10_full_loso_current.json,88755,0.0846,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,arousal,subject,fold,test,validation,baseline","L3: ""target"": ""arousal"", || L4: ""cache"": ""baseline_corrected"", || L5: ""model"": ""eeg_bc_residual_huber_norm_gaussian10_full_loso"", || L18: ""max_folds"": 63, || L19: ""validation_subject_count"": 8, || L20: ""target_normalization"": ""fit residual mean/std on train subjects only; predict scaled residual; de-scale using outer train stats"", || L21: ""augmentation_scope"": ""train batches only; validation and test are never augmented"", || L22: ""loss"": ""HuberLoss(delta=1.0) on scaled residual"",",19
docs/roca/eeg_validation_calibrated_smoke_current.json,39722,0.0379,"torch,loso,gpu","accuracy,acc,rmse,mae,f1,pearson,loss,arousal,subject,fold,test,validation,baseline","L2: ""protocol"": ""EEG validation-calibrated multitask residual smoke"", || L3: ""target"": ""arousal"", || L4: ""cache"": ""baseline_corrected"", || L10: ""baseline_note"": ""stimulus_fit_only uses fit-subject stimulus means only, because validation subjects are reserved for calibration."", || L13: ""max_folds"": 6, || L14: ""test_subjects"": [ || L22: ""validation_subject_count"": 8, || L23: ""loss"": {",19
scripts/34_run_idare_eeg_bsl_stats_ablation_smoke.py,32575,0.0311,"torch,conv,representation,loso,neural","accuracy,acc,f1,loss,valence,arousal,subject,fold,baseline","L5: - baseline-corrected EEG response cache: [n_trials, 32, 640] || L10: - The EEG cache is the main STIM-BSL response representation. || L12: - BSL stats are standardized with train-fold statistics only. || L30: import torch || L31: from torch import nn || L32: from torch.utils.data import DataLoader, Dataset, WeightedRandomSampler || L37: DEFAULT_EEG_NPY = ROOT / "".cache"" / ""idare_eeg_windows_32x640_float32_baseline_corrected.npy"" || L38: DEFAULT_EEG_INDEX = ROOT / "".cache"" / ""idare_eeg_cache_index_baseline_corrected.csv""",19
scripts/roca/05ah_gpu_idare_physiology_informed_personalization_challenge.py,31459,0.03,"torch,pytorch,gpu","accuracy,acc,rmse,mae,f1,ccc,pearson,loss,valence,arousal,subject,test,baseline","L15: import torch || L21: DEFAULT_OUT_PREFIX = ""idare_physiology_informed_personalization_challenge_gpu_current"" || L24: ""valence"": ""valence_score"", || L25: ""arousal"": ""arousal_score"", || L35: p.add_argument(""--targets"", type=str, default=""valence,arousal"") || L39: p.add_argument(""--max-subjects"", type=int, default=None) || L113: def pearson_from_sums(n, sy, sp, sy2, sp2, syp): || L124: def ccc_from_sums(n, sy, sp, sy2, sp2, syp):",19
